username,manga_id,user_score
ItzDamonnn,122353,0
ItzDamonnn,124036,0
ItzDamonnn,11767,0
ItzDamonnn,132190,7
ItzDamonnn,118196,9
ItzDamonnn,116534,7
ItzDamonnn,124209,0
ItzDamonnn,102135,0
ItzDamonnn,119082,0
ItzDamonnn,115132,0
ItzDamonnn,103851,0
ItzDamonnn,117080,10
ItzDamonnn,126141,0
ItzDamonnn,125785,7
ItzDamonnn,99304,7
ItzDamonnn,89087,0
ItzDamonnn,128088,0
ItzDamonnn,129164,0
ItzDamonnn,23419,10
cheyaposha,3378,9
slavemaster_1991,104039,0
slavemaster_1991,113169,8
slavemaster_1991,117227,0
slavemaster_1991,81,0
slavemaster_1991,96528,2
slavemaster_1991,122830,0
slavemaster_1991,122851,0
slavemaster_1991,98578,0
slavemaster_1991,43999,0
slavemaster_1991,79193,6
slavemaster_1991,2,10
slavemaster_1991,112121,4
slavemaster_1991,103444,7
slavemaster_1991,113549,9
slavemaster_1991,96402,8
slavemaster_1991,86633,0
slavemaster_1991,111767,0
slavemaster_1991,103897,9
slavemaster_1991,13801,0
slavemaster_1991,105700,6
slavemaster_1991,41733,7
slavemaster_1991,95311,10
slavemaster_1991,98720,10
slavemaster_1991,109608,10
slavemaster_1991,56755,8
slavemaster_1991,80805,8
slavemaster_1991,336,0
slavemaster_1991,116766,0
slavemaster_1991,89594,1
slavemaster_1991,117078,7
slavemaster_1991,36615,0
slavemaster_1991,91714,6
slavemaster_1991,89737,1
slavemaster_1991,96109,0
slavemaster_1991,94896,6
slavemaster_1991,90125,0
slavemaster_1991,99377,1
slavemaster_1991,99157,7
slavemaster_1991,99007,9
slavemaster_1991,93399,0
slavemaster_1991,89768,10
slavemaster_1991,60553,10
slavemaster_1991,80385,9
slavemaster_1991,91941,0
slavemaster_1991,116790,8
slavemaster_1991,21097,0
slavemaster_1991,1,0
slavemaster_1991,70259,2
slavemaster_1991,98104,7
slavemaster_1991,103925,8
slavemaster_1991,107566,8
slavemaster_1991,113560,0
slavemaster_1991,74283,6
slavemaster_1991,465,9
slavemaster_1991,122124,0
slavemaster_1991,44347,10
slavemaster_1991,106759,4
slavemaster_1991,91767,8
slavemaster_1991,81667,7
slavemaster_1991,81669,8
slavemaster_1991,109840,3
slavemaster_1991,81681,8
slavemaster_1991,103314,0
slavemaster_1991,74697,8
slavemaster_1991,105454,3
slavemaster_1991,105962,5
slavemaster_1991,111276,9
slavemaster_1991,90467,7
slavemaster_1991,105328,7
slavemaster_1991,91731,8
slavemaster_1991,95012,8
slavemaster_1991,95353,8
slavemaster_1991,121180,8
slavemaster_1991,87609,4
slavemaster_1991,109931,1
slavemaster_1991,97760,9
slavemaster_1991,109234,8
slavemaster_1991,116772,9
slavemaster_1991,85941,10
slavemaster_1991,82427,3
slavemaster_1991,82593,3
slavemaster_1991,67615,4
slavemaster_1991,67617,7
slavemaster_1991,88930,10
slavemaster_1991,111225,7
slavemaster_1991,106785,6
slavemaster_1991,112922,10
slavemaster_1991,122663,9
slavemaster_1991,656,0
slavemaster_1991,124305,7
slavemaster_1991,642,10
slavemaster_1991,100274,9
slavemaster_1991,99595,7
Uji_Gintoki_Bowl,121504,8
Uji_Gintoki_Bowl,173243,0
Uji_Gintoki_Bowl,158779,0
Uji_Gintoki_Bowl,135545,7
Uji_Gintoki_Bowl,178161,0
Uji_Gintoki_Bowl,168312,0
Uji_Gintoki_Bowl,171139,0
Uji_Gintoki_Bowl,180263,0
Uji_Gintoki_Bowl,135496,0
Uji_Gintoki_Bowl,165663,0
Uji_Gintoki_Bowl,134339,0
Uji_Gintoki_Bowl,111745,0
Uji_Gintoki_Bowl,163630,0
Uji_Gintoki_Bowl,137004,4
Uji_Gintoki_Bowl,118819,7
Uji_Gintoki_Bowl,143031,0
Uji_Gintoki_Bowl,147458,0
Uji_Gintoki_Bowl,126829,5
Uji_Gintoki_Bowl,172139,0
Uji_Gintoki_Bowl,147528,4
Uji_Gintoki_Bowl,149000,0
Uji_Gintoki_Bowl,154717,0
Uji_Gintoki_Bowl,148626,0
Uji_Gintoki_Bowl,183122,0
Uji_Gintoki_Bowl,158847,0
Uji_Gintoki_Bowl,139104,0
Uji_Gintoki_Bowl,164247,0
Uji_Gintoki_Bowl,140717,6
Uji_Gintoki_Bowl,147712,6
Uji_Gintoki_Bowl,136979,0
Uji_Gintoki_Bowl,115848,6
Uji_Gintoki_Bowl,178671,0
Uji_Gintoki_Bowl,163267,0
Uji_Gintoki_Bowl,126161,4
Uji_Gintoki_Bowl,137007,5
Uji_Gintoki_Bowl,13,10
Uji_Gintoki_Bowl,153408,4
Uji_Gintoki_Bowl,155271,0
Uji_Gintoki_Bowl,122353,6
Uji_Gintoki_Bowl,121433,0
Uji_Gintoki_Bowl,108407,0
Uji_Gintoki_Bowl,153650,6
Uji_Gintoki_Bowl,156817,0
Uji_Gintoki_Bowl,118289,7
Uji_Gintoki_Bowl,148467,0
Uji_Gintoki_Bowl,124209,6
Uji_Gintoki_Bowl,119161,8
Uji_Gintoki_Bowl,138802,4
Uji_Gintoki_Bowl,157378,0
Uji_Gintoki_Bowl,180082,0
Uji_Gintoki_Bowl,144267,8
Uji_Gintoki_Bowl,119082,0
Uji_Gintoki_Bowl,171055,0
Uji_Gintoki_Bowl,143556,0
Uji_Gintoki_Bowl,155218,5
Uji_Gintoki_Bowl,136683,5
Uji_Gintoki_Bowl,123437,4
Uji_Gintoki_Bowl,151550,0
Uji_Gintoki_Bowl,151358,0
Uji_Gintoki_Bowl,48347,7
Uji_Gintoki_Bowl,163353,0
Uji_Gintoki_Bowl,166003,0
Corrout,180314,0
Corrout,177003,0
Corrout,135545,9
Corrout,172903,0
Corrout,116778,10
Corrout,135496,9
Corrout,176001,0
Corrout,112589,10
Corrout,169628,0
Corrout,172372,0
Corrout,171196,0
Corrout,42451,0
Corrout,117020,0
Corrout,41629,8
Corrout,137004,0
Corrout,142815,0
Corrout,125746,10
Corrout,117474,0
Corrout,178472,0
Corrout,17,0
Corrout,35513,0
Corrout,180086,0
Corrout,80119,0
